18776133-17	In the current study, we found that treatment of peripheral blood mononuclear cells with combination <mark style="background-color:lightgreen;" id="O62641,O77620,O97513,P04351,P05016,P17108,P19114,P26891,P36835,P37997,P46649,P51747,P60568,P60569,P68290,P68291,Q07885,Q08081,Q08867,Q1WM29,Q25BC3,Q29416,Q29615,Q2PE47,Q2PE78,Q4U313,Q5MBA8,Q5PXD0,Q7JFM2,Q7JFM3,Q7JFM4,Q7JFM5,Q865X2,Q865Y1,Q8MKH2,Q95KP3,Q9XS38,Q9XT83,Q9XT84">IL-2</mark> / <mark style="background-color:lightgreen;" id="O77762,P05112,P07750,P20096,P30367,P30368,P42202,P46652,P47966,P51492,P51744,P55030,P79155,P79339,Q04745,Q2PE74,Q3S4V6,Q58M18,Q60440,Q7YS71,Q865X5,Q865Y0,Q8HYB1,Q9MZR8,Q9XS58">IL-4</mark> for 48 hours, but not with <mark style="background-color:lightgreen;" id="O62641,O77620,O97513,P04351,P05016,P17108,P19114,P26891,P36835,P37997,P46649,P51747,P60568,P60569,P68290,P68291,Q07885,Q08081,Q08867,Q1WM29,Q25BC3,Q29416,Q29615,Q2PE47,Q2PE78,Q4U313,Q5MBA8,Q5PXD0,Q7JFM2,Q7JFM3,Q7JFM4,Q7JFM5,Q865X2,Q865Y1,Q8MKH2,Q95KP3,Q9XS38,Q9XT83,Q9XT84">IL-2</mark> or <mark style="background-color:lightgreen;" id="O77762,P05112,P07750,P20096,P30367,P30368,P42202,P46652,P47966,P51492,P51744,P55030,P79155,P79339,Q04745,Q2PE74,Q3S4V6,Q58M18,Q60440,Q7YS71,Q865X5,Q865Y0,Q8HYB1,Q9MZR8,Q9XS58">IL-4</mark> alone, abrogated <mark style="background-color:lightblue;" id="5743">dexamethasone</mark> ( <mark style="background-color:lightgreen;" id="P48845">DEX</mark> )-induced <mark style="background-color:lightgreen;" id="O13186,O46567,O73673,P04150,P06536,P06537,P35547,P49115,P49843,P49844,P59667,P79269,P79686,Q5R9P5,Q6XLJ0,Q95267,Q9N1U3">glucocorticoid receptor</mark> (GCR)-alpha nuclear translocation in both <mark style="background-color:lightgreen;" id="P01730,P05542,P16003,P16004,P33705,P46630,P79184,P79185,Q08336,Q08338,Q08339,Q08340,Q29037,Q9XS78">CD4</mark> (+) and CD8(+) T cells.
18926682-975	Both extracts increased <mark style="background-color:lightgreen;" id="O24006">AMP</mark> -kinase <mark style="background-color:yellow;" id="GO:0016310,biological_process">phosphorylation</mark> and <mark style="background-color:lightgreen;" id="O08424,O24594,O26662,O28538,O51628,O59469,O74164,O76819,P00347,P04035,P09610,P13702,P14773,P16237,P16393,P20715,P48021,P51639,P54960,Q01237,Q01559,Q03163,Q10283,Q12577,Q12649,Q1W675,Q29512,Q58116,Q59468,Q5R6N3,Q9V1R3,Q9Y7D2,Q9YAS4">HMG-CoA reductase</mark>  <mark style="background-color:yellow;" id="GO:0016310,biological_process">phosphorylation</mark> by 2.5- to 4-fold, but with different time courses: maximal <mark style="background-color:yellow;" id="GO:0016310,biological_process">phosphorylation</mark> with <mark style="background-color:lightblue;" id="4630">green tea</mark> was evident within 30 min of treatment, whereas with black tea <mark style="background-color:yellow;" id="GO:0016310,biological_process">phosphorylation</mark> was slower to develop, with maximal <mark style="background-color:yellow;" id="GO:0016310,biological_process">phosphorylation</mark> occurring &gt; or =3 hours after treatment.
18820241-987	Multiple studies suggest increased conversion of <mark style="background-color:lightblue;" id="304,5997,6432564,11025495">cholesterol</mark> to bile acids by <mark style="background-color:lightgreen;" id="O46491,P18125,P22680,P46634,P51542,Q64505">cholesterol 7alpha-hydroxylase</mark> ( <mark style="background-color:lightgreen;" id="O46491,P22680,P46634,P51542">CYP7A1</mark> ) protects against dyslipidemia and atherosclerosis.
18926751-991	The sequence has also been successfully implemented for <mark style="background-color:lightgreen;" id="P03161,P03610,P03631,P03632,P07394,P15966,P25243,P25244,P35823,P98005">a protein</mark> at very-low concentration in interaction with a small ligand, namely the salivary IB5 <mark style="background-color:yellow;" id="GO:0005515,molecular_function">protein binding</mark> the polyphenol epigallocatechine <mark style="background-color:lightblue;" id="370">gallate</mark>.
18854429-993	<mark style="background-color:lightgreen;" id="Q8VCC8,Q9Z1C8">Epac</mark> is involved in <mark style="background-color:lightblue;" id="6076">cAMP</mark>-stimulated proglucagon expression and hormone production but not <mark style="background-color:yellow;" id="GO:0046879,biological_process">hormone secretion</mark> in pancreatic alpha- and intestinal L-cell lines.
18854429-994	Both <mark style="background-color:lightgreen;" id="Q8VCC8,Q9Z1C8">Epac</mark> and <mark style="background-color:yellow;" id="GO:0004691,molecular_function">PKA</mark> are effectors of the second messenger <mark style="background-color:lightblue;" id="6076">cAMP</mark>.
18820279-997	Therefore, we queried whether <mark style="background-color:lightblue;" id="446157">rosuvastatin</mark> is prosurvival in podocytes through a <mark style="background-color:lightgreen;" id="O19002,O39927,O39928,O39929,O91936,O92529,O92530,O92531,O92532,P26660,P26661,P26662,P26663,P26664,P27954,P27955,P27956,P27957,P27958,P27959,P27960,P27961,P29846,P38936,P39689,P61585,P63028,Q00269,Q01403,Q01404,Q07828,Q11118,Q42580,Q5EG65,Q5I2N3,Q62092,Q68749,Q68798,Q68801,Q81258,Q81487,Q81495,Q81754,Q913D4,Q99IB8,Q9DHD6,Q9QAX1,Q9WMX2">p21</mark> -dependent pathway.
18836681-1004	<mark style="background-color:lightblue;" id="3845">Kynurenic acid</mark> (<mark style="background-color:lightblue;" id="3845">KYNA</mark>) is an agonist of the G-protein-coupled receptor <mark style="background-color:lightgreen;" id="Q9HC97">GPR35</mark> , which is predominantly expressed in gastrointestinal tissues.
18854435-1007	Since a polypeptide lacking the <mark style="background-color:lightblue;" id="614,8988,145742">proline</mark>-rich region (P-region) of <mark style="background-color:lightgreen;" id="P42858,P42859,P51111,P51112">huntingtin</mark> (103Q) cannot form <mark style="background-color:yellow;" id="GO:0016235,cellular_component">aggresomes</mark> , this domain serves as an <mark style="background-color:yellow;" id="GO:0016235,cellular_component">aggresome</mark> -targeting signal.
18926804-1008	This finding led the authors to propose that <mark style="background-color:lightgreen;" id="Q9BPW9">RDH-E2</mark> may be involved in the <mark style="background-color:yellow;" id="GO:0009405,biological_process">pathogenesis</mark> of psoriasis through its potential role in <mark style="background-color:lightblue;" id="444795">retinoic acid</mark> <mark style="background-color:yellow;" id="GO:0009058,biological_process">biosynthesis</mark> and stimulation of keratinocyte proliferation.
18926804-1010	In this study, we began the characterization of <mark style="background-color:lightgreen;" id="Q9BPW9">RDH-E2</mark> protein in order to determine whether it might play a role in <mark style="background-color:lightblue;" id="444795">retinoic acid</mark> <mark style="background-color:yellow;" id="GO:0009058,biological_process">biosynthesis</mark> .
18926804-1011	The preference for NAD(+) suggests that <mark style="background-color:lightgreen;" id="Q9BPW9">RDH-E2</mark> is likely to function in the oxidative direction in vivo, further supporting its potential role in the oxidation of retinol to retinaldehyde for <mark style="background-color:lightblue;" id="444795">retinoic acid</mark> <mark style="background-color:yellow;" id="GO:0009058,biological_process">biosynthesis</mark> in human keratinocytes.
18836710-1021	Molecular dynamics simulation techniques have been used to study the unbinding pathways of <mark style="background-color:lightblue;" id="22811021">1alpha,25-dihydroxyvitamin D(3</mark>) from the ligand- <mark style="background-color:yellow;" id="GO:0005488,molecular_function">binding</mark> pocket of the <mark style="background-color:lightblue;" id="5280795">vitamin D</mark> receptor ( <mark style="background-color:lightgreen;" id="O13124,O42392,P11473,P13053,P48281,P49701,Q28037,Q95MH5">VDR</mark> ).
18926839-1035	We also established a significant role for functionalization-dependent <mark style="background-color:lightblue;" id="123591">fullerene</mark>-regulation of the caspase <mark style="background-color:lightgreen;" id="O41798,O89290,O89940,O91080,O93215,P03311,P03353,P03355,P03356,P03362,P03363,P03366,P03367,P03369,P03370,P04023,P04024,P04323,P04584,P04585,P04587,P04588,P04589,P05959,P05960,P05961,P05962,P07570,P0C210,P0C211,P10210,P10265,P10270,P10271,P10272,P10273,P10274,P10394,P10978,P11227,P11365,P12451,P12497,P12498,P12499,P14074,P14078,P15833,P16046,P16423,P16901,P17757,P18042,P18096,P18802,P19028,P19199,P19560,P19561,P20825,P20875,P20876,P20892,P21407,P21414,P24107,P24740,P26808,P26809,P26810,P27502,P28936,P31822,P35956,P35963,P51518,P63119,P63120,P63121,P63122,P63123,P63124,P63125,P63127,P63128,P63129,P63131,P84454,Q09SZ9,Q0R5R2,Q0R5R3,Q1A249,Q1A267,Q4U0X6,Q73368,Q74120,Q75002,Q76634,Q77373,Q79666,Q89928,Q8AII1,Q8I7P9,Q9IDV9,Q9Q720,Q9QBY3,Q9QBZ1,Q9QBZ5,Q9QSR3,Q9WC54,Q9WC63,Q9Y6I0">proteases</mark> in the elicited responses.
18926849-1039	<mark style="background-color:lightblue;" id="124886">GSH</mark> is the most powerful <mark style="background-color:yellow;" id="GO:0005622,cellular_component">intracellular</mark> antioxidant and plays a role in the detoxification of a variety of electrophilic compounds and peroxides via catalysis by <mark style="background-color:lightgreen;" id="O04437,O18598,P0A9D2,P0A9D3,P30116,P44521,P46088,P46419,P46423,P46426,P46428,P46437,P48438,P80894,P81065,P82996,P82997,P82998,P82999,P83000,P83001,P83246,Q04522,Q08392,Q08393,Q0ZS46,Q7REH6,Q8ILQ7,Q8MU52,Q96324">glutathione-S-transferases</mark> ( <mark style="background-color:lightgreen;" id="P20432,P30104,P30106,P30107,P30108,Q04522,Q0ZS46,Q7REH6,Q8ILQ7,Q8MU52">GST</mark> ) and <mark style="background-color:lightgreen;" id="O32770,O59858,Q00277,Q9CFV1">glutathione peroxidases</mark> (GPx).
18836740-1046	Inhibiting <mark style="background-color:lightgreen;" id="P01314,P01316,P01319,P01320,P01324,P01328,P01330,P01331,P01334,P01336,P01340,P07453,P09476,P09477,P0C236,P12703,P12704,P12708,P13190,P18109,P29335,P42633,P67968,P67969,P67971,P67973,P67974,P68243,P68245,P68987,P68988,P68989,P68990,P68991,P68992,P69046,P69047,P69048,P81423,P81881,Q9TQY7">insulin</mark> signalling in <mark style="background-color:lightgreen;" id="P33300,Q09428">SUR1</mark> (-/-) beta-cells blunted the <mark style="background-color:lightblue;" id="206,5793,64689,79025">glucose</mark>-induced decrease of [Ca(2+)](c).
18926889-1065	It inhibited Trypanosoma brucei <mark style="background-color:lightgreen;" id="O01360,O13507,O27090,O28542,O32755,O34425,O42259,O52631,O57479,O57672,O59494,O59841,O67161,O83816,O96423,P00355,P00356,P00357,P00361,P00362,P04406,P04797,P08439,P09124,P09316,P09317,P0A1P0,P0A1P1,P0C0G6,P0C0G7,P10096,P10097,P10618,P15115,P16858,P17244,P17721,P19089,P19314,P19315,P20287,P20445,P22512,P22513,P23722,P24163,P24164,P24166,P24746,P24748,P24749,P24750,P24751,P24753,P25861,P26518,P26519,P26520,P26521,P26988,P27726,P28844,P29272,P29497,P32637,P32638,P34783,P35143,P39460,P44304,P46406,P46713,P46795,P46796,P47543,P48812,P51009,P51469,P51640,P52694,P52987,P53429,P53430,P54117,P54118,P54226,P55070,P55071,P55971,P56649,P57384,P58839,P61879,P61880,P64178,P64179,P68777,P70685,P75358,P80447,P80534,P83601,P87197,P94915,Q00301,Q00584,Q00640,Q01558,Q01597,Q01651,Q01982,Q05025,Q07234,Q12552,Q1DTF9,Q27652,Q27890,Q28259,Q28554,Q2NEN0,Q3IUT3,Q46450,Q48335,Q4J940,Q4KYY3,Q58546,Q59199,Q59309,Q59800,Q59906,Q5JHB5,Q5R2J2,Q5RAB4,Q5V061,Q5XDW3,Q6BMK0,Q6CCU7,Q6L125,Q6M0E6,Q757I2,Q89AK1,Q8J1H3,Q8K8M9,Q8NK47,Q8PTD3,Q8TFJ2,Q8WZN0,Q8X1X3,Q8ZWK7,Q92211,Q92243,Q92263,Q94469,Q96US8,Q971K2,Q97BJ8,Q9HFX1,Q9HGY7,Q9HJ69,Q9HSS7,Q9N2D5,Q9N655,Q9P8C0,Q9PJN6,Q9UR38,Q9UVC0,Q9UW96,Q9V1P1,Q9Y796,Q9Y8E9,Q9YFS9,Q9Z518,Q9Z7T0,Q9ZKT0">GAPDH</mark> with an IC(50) value of 240 microM and has been shown to be a competitive reversible inhibitor (Ki=200+/-10 microM) of this enzyme with respect to its cofactor <mark style="background-color:lightblue;" id="5893">NAD</mark>(+).
18853207-1083	The effects of industrial storage on the changes of the cell viability and the activities of <mark style="background-color:yellow;" id="GO:0005622,cellular_component">intracellular</mark>  <mark style="background-color:lightgreen;" id="O31186,P00332,P00334,P06525,P07159,P07162,P0A9Q7,P0A9Q8,P10807,P12311,P14940,P17648,P21518,P21898,P22245,P23277,P23278,P23361,P25139,P25721,P25988,P26719,P28483,P28484,P33744,P37473,P42327,P42328,P48584,P48585,P48977,P51549,P51550,P51551,P51552,P71017,P84328,Q00669,Q00670,Q00671,Q00672,Q03384,Q05114,Q07588,Q09009,Q09010,Q24641,Q24803,Q27404,Q6LCE4,Q9GN94,Q9NAR7,Q9NG40,Q9NG42,Q9U8S9">alcohol dehydrogenase</mark> ( <mark style="background-color:lightgreen;" id="P06525,P0A9Q7,P0A9Q8,P17648,P33744,P42327,P48977,P81786,Q04983,Q24803,Q24857,Q9NAR7">ADH</mark> ) and <mark style="background-color:lightblue;" id="5958,439284,439427,439958">glucose-6-phosphate</mark> dehydrogenase ( <mark style="background-color:lightgreen;" id="P37830,P48826">G6PDH</mark> ) in brewer's yeast, and the corresponding capacity for the bioconversion of <mark style="background-color:lightblue;" id="8868">ethyl-3-oxobutanoate</mark> (<mark style="background-color:lightblue;" id="9547937">EOB</mark>) to ethyl (<mark style="background-color:lightblue;" id="94318">S)-3-hydroxybutanoate</mark> ((S)-<mark style="background-color:lightblue;" id="46942358">EHB</mark>), were investigated.
18853234-1098	Streptokinase (SK), <mark style="background-color:lightgreen;" id="P81156">glucose oxidase</mark> (<mark style="background-color:lightblue;" id="445248">GOx</mark>) and <mark style="background-color:lightblue;" id="1014">phosphorylcholine</mark> (PC) were immobilized onto PGLD to obtain a blood compatible bioconjugate with <mark style="background-color:lightblue;" id="206,5793,64689,79025">glucose</mark> sensing properties.
18836851-1099	In the mouse model of demyelination-remyelination induced by oral administration of <mark style="background-color:lightblue;" id="9723">cuprizone</mark>, in situ hybridization showed an upregulation of the <mark style="background-color:lightgreen;" id="Q08345,Q7YR43">DDR1</mark> gene in three different white matter areas (corpus callosum, dorsal fornix, and external <mark style="background-color:yellow;" id="GO:0030113,GO:0042604,GO:0042603,cellular_component">capsule</mark> ) during the remyelination period.
18836851-1100	Cells positive for <mark style="background-color:lightgreen;" id="Q08345,Q7YR43">DDR1</mark> mRNA were also positive for oligodendrocyte markers ( <mark style="background-color:lightgreen;" id="Q13516,Q90XB3">OLIG2</mark> , <mark style="background-color:lightblue;" id="9369,439224">carnosine</mark>, and <mark style="background-color:lightgreen;" id="P25054">APC</mark> ) but not for markers of oligodendrocyte precursors ( <mark style="background-color:lightgreen;" id="Q99942">NG2</mark> ), myelin markers ( <mark style="background-color:lightgreen;" id="P06623,P09543,P13233,P16330">CNPase</mark> ), microglia (CD11b), or reactive glia ( <mark style="background-color:lightgreen;" id="P03995,P14136,P47819,Q28115">GFAP</mark> ).
18853102-1107	<mark style="background-color:lightblue;" id="82143">Cryptolepine</mark> activity showed highest correlations to <mark style="background-color:lightgreen;" id="O29238,O51934,O58530,O67037,O67226,P74759,P95479,Q08582,Q58907,Q6F598,Q8R979,Q8ZXT5,Q971T7,Q975P6,Q97ZF5,Q97ZZ8,Q9UZ86,Q9YC75,Q9YCB6">topoisomerase</mark> II and <mark style="background-color:yellow;" id="GO:0005874,cellular_component">microtubule</mark> targeting drugs.
18845121-1115	They can be oxidized by <mark style="background-color:lightgreen;" id="O08590,O70423,Q16853,Q5R9I0,Q9TTK6">semicarbazide-sensitive amine oxidase</mark> ( <mark style="background-color:lightgreen;" id="O08590,O70423,Q16853,Q5R9I0,Q9TTK6">SSAO</mark> ), leading to the production of toxic aldehydes such as <mark style="background-color:lightblue;" id="712">formaldehyde</mark> and <mark style="background-color:lightblue;" id="880">methylglyoxal</mark> as well as <mark style="background-color:lightblue;" id="784">hydrogen peroxide</mark> and <mark style="background-color:lightblue;" id="222">ammonia</mark>.
18845132-1120	Selenocystine is taken up well by the b(0,+) rBAT system, while <mark style="background-color:lightblue;" id="152157">selenobetaine</mark> is a low-affinity substrate only for <mark style="background-color:lightgreen;" id="P39980,Q9Y3P8">SIT1</mark> and <mark style="background-color:lightgreen;" id="P25644,P34230,P43577,Q02166,Q6L8K7,Q7Z2H8,Q92624">PAT1</mark> .
18845148-1121	Experiments using a classical inhibitor of <mark style="background-color:lightblue;" id="30819">phosphotyrosine</mark> <mark style="background-color:lightgreen;" id="P06961,P45269,Q57JQ5,Q5E2K7,Q5F8K9,Q5P3T0,Q5PC82,Q5WT58,Q5X1E5,Q5ZRX9,Q60CQ4,Q62EU1,Q63YC3,Q65Q41,Q665U9,Q6D160,Q6FA38,Q6LV05,Q7M7K5,Q7MAZ9,Q7MBF4,Q821A6,Q82U82,Q87DS9,Q87SK9,Q88A53,Q88QU2,Q8CWL6,Q8CXX6,Q8P5D4,Q8PPG9,Q8XBL4,Q8Y395,Q8Z3M9,Q8ZI64,Q8ZLY4,Q9CP21,Q9I5V3,Q9JUB2,Q9JZ88,Q9KPC6,Q9L7A3,Q9PDL7">phosphatase</mark> , <mark style="background-color:lightblue;" id="61671">sodium orthovanadate</mark>, also showed that the ecto- <mark style="background-color:lightgreen;" id="P06961,P45269,Q57JQ5,Q5E2K7,Q5F8K9,Q5P3T0,Q5PC82,Q5WT58,Q5X1E5,Q5ZRX9,Q60CQ4,Q62EU1,Q63YC3,Q65Q41,Q665U9,Q6D160,Q6FA38,Q6LV05,Q7M7K5,Q7MAZ9,Q7MBF4,Q821A6,Q82U82,Q87DS9,Q87SK9,Q88A53,Q88QU2,Q8CWL6,Q8CXX6,Q8P5D4,Q8PPG9,Q8XBL4,Q8Y395,Q8Z3M9,Q8ZI64,Q8ZLY4,Q9CP21,Q9I5V3,Q9JUB2,Q9JZ88,Q9KPC6,Q9L7A3,Q9PDL7">phosphatase</mark> activity was inhibited in a dose-dependent manner.
18836996-1126	By conducting this initial screen on EMT6 cells and applying protein function and genomic structure criteria to genes identified as upregulated in response to <mark style="background-color:lightblue;" id="451668">5-azadC</mark>/ <mark style="background-color:lightgreen;" id="P22940,P32119,P34760,P35704,P37915,P37916,P37917,P37918,P37919,P52552,P52570,P80602,Q02938,Q61171">TSA</mark> , we were able to identify two characterized breast cancer TSGs ( <mark style="background-color:lightgreen;" id="O73746,P39876,P48032">Timp3</mark> and Rprm) and four putative TSGs (Atp1B2, <mark style="background-color:lightgreen;" id="Q05922">Dusp2</mark> , <mark style="background-color:lightgreen;" id="Q5M7N6">FoxJ1</mark> and <mark style="background-color:lightgreen;" id="O35049,Q9JJY3">Smpd3</mark> ) silenced in this line.
18837008-1129	Therapeutic strategy to rescue mutation-induced exon skipping in <mark style="background-color:lightgreen;" id="O16005,O16017,O16018,O16019,O16020,O18312,O18315,O18481,O18485,O18486,O18766,O42268,O42294,O42300,O42301,O42307,O42327,O42328,O42330,O42427,O42431,O42451,O42452,O42466,O42604,O62791,O62792,O62793,O62794,O62795,O62796,O62798,O93441,O93459,P02699,P02700,P08100,P09241,P15409,P22328,P22671,P24603,P28681,P29403,P31355,P31356,P32308,P32309,P35356,P35359,P35362,P35403,P41590,P41591,P49912,P51470,P51488,P51489,P52202,P56514,P56515,P56516,P79756,P79798,P79807,P79808,P79809,P79812,P79848,P79863,P79898,P79901,P79902,P79903,P79911,P79914,P87369,Q17094,Q17292,Q17296,Q28886,Q68J47,Q6W3E1,Q769E8,Q8HY69,Q90245,Q90305,Q90373,Q95KU1,Q98980,Q9DGG4,Q9YGY9,Q9YGZ0,Q9YGZ1,Q9YGZ2,Q9YGZ3,Q9YGZ4,Q9YGZ5,Q9YGZ6,Q9YGZ7,Q9YGZ8,Q9YGZ9,Q9YH00,Q9YH01,Q9YH02,Q9YH03,Q9YH04,Q9YH05">rhodopsin</mark> by adaptation of <mark style="background-color:lightblue;" id="23989">U1</mark> snRNA.
18837008-1130	As a therapeutic strategy, <mark style="background-color:lightblue;" id="23989">U1</mark> snRNAs were adapted to the novel <mark style="background-color:lightgreen;" id="O16005,O16017,O16018,O16019,O16020,O18312,O18315,O18481,O18485,O18486,O18766,O42268,O42294,O42300,O42301,O42307,O42327,O42328,O42330,O42427,O42431,O42451,O42452,O42466,O42604,O62791,O62792,O62793,O62794,O62795,O62796,O62798,O93441,O93459,P01122,P02699,P02700,P08100,P09241,P22328,P22671,P24603,P28681,P30403,P31355,P31356,P32308,P32309,P35356,P35403,P41590,P41591,P49912,P51470,P51488,P52202,P56514,P56515,P56516,P79756,P79798,P79807,P79808,P79809,P79812,P79848,P79863,P79898,P79901,P79902,P79903,P79911,P79914,P87369,Q17094,Q28886,Q68J47,Q6W3E1,Q769E8,Q8HY69,Q90245,Q90305,Q90373,Q95KU1,Q98980,Q9DGG4,Q9YGY9,Q9YGZ0,Q9YGZ1,Q9YGZ2,Q9YGZ3,Q9YGZ4,Q9YGZ5,Q9YGZ6,Q9YGZ7,Q9YGZ8,Q9YGZ9,Q9YH00,Q9YH01,Q9YH02,Q9YH03,Q9YH04,Q9YH05">RHO</mark> mutation and tested for its potential to reverse missplicing.
18927146-1139	<mark style="background-color:lightblue;" id="5476374">Morpholino</mark> oligonucleotide-induced expression of truncated <mark style="background-color:lightgreen;" id="O97592,P11530,P11531,P11532,P11533,Q5GN48">dystrophin</mark> in the brains of mdx mice, but not in the muscle, ameliorated the abnormal freezing response to restraint.
18845237-1144	<mark style="background-color:lightgreen;" id="P54149,Q9UJ68">MSRAs</mark> ( <mark style="background-color:yellow;" id="GO:0000317,molecular_function">methionine <mark style="background-color:lightblue;" id="8442">sulfoxide</mark> reductases</mark> A) are enzymes that reverse the effects of oxidative damage by reducing <mark style="background-color:lightblue;" id="847">methionine sulfoxide</mark> back to <mark style="background-color:lightblue;" id="876,6137">methionine</mark> and recovering protein function.
18845237-1145	Both promoters are partially regulated by <mark style="background-color:lightblue;" id="444795">all-trans retinoic acid</mark> via <mark style="background-color:lightgreen;" id="P10276,P18514,Q5FBR4,Q90966,Q9W5Z3">RARA</mark> and other RARs.
18926859-1152	Peripheral <mark style="background-color:lightgreen;" id="O12956,P01272,P01273,P01274,P01275,P05110,P06883,P22890,P29794,P55095,P68259,Q06605,Q8MJ25">GLP-1</mark> gastroprotection against <mark style="background-color:lightblue;" id="702">ethanol</mark>: the role of exendin, NO, <mark style="background-color:lightgreen;" id="P10286,P30880,P30881,P31888,P80511">CGRP</mark> , prostaglandins and blood flow.
18926859-1154	<mark style="background-color:lightblue;" id="702">Absolute ethanol</mark> was administered through an orogastric cannula right after the injection of <mark style="background-color:lightgreen;" id="O12956,P01272,P01273,P01274,P01275,P05110,P06883,P22890,P29794,P55095,P68259,Q06605,Q8MJ25">GLP-1</mark> (1, 10, 100, 1000 or 10,000 ng/kg; i.p.).
18926807-1160	<mark style="background-color:lightgreen;" id="P30837,P40047,P52476">ALDH5</mark> (<mark style="background-color:lightblue;" id="5287660">aka</mark> <mark style="background-color:lightblue;" id="1112">succinic semialdehyde</mark> dehydrogenase) is a <mark style="background-color:lightblue;" id="5893">NAD</mark>(+)-dependent <mark style="background-color:lightgreen;" id="O74187,P08157,P12693,P23240,P40108,P41751,P42041,P45959,Q27640,Q8VXQ2,Q9RYG9,Q9ZA11">aldehyde dehydrogenase</mark> crucial for the proper removal of the <mark style="background-color:lightblue;" id="119">GABA</mark> metabolite <mark style="background-color:lightblue;" id="1112">succinic semialdehyde</mark> ( <mark style="background-color:lightgreen;" id="P10155,P19474,Q62191,Q7YRV4">SSA</mark> ).
18926807-1161	As release of <mark style="background-color:lightblue;" id="439153">NADH</mark> can be a rate-limiting step for <mark style="background-color:lightgreen;" id="P17201,P22281,P80472,P80704,P80705,Q27640,Q8VXQ2">ALDH</mark> activity, <mark style="background-color:yellow;" id="GO:0051287,molecular_function">NADH binding</mark> was evaluated for R166wt and R166H enzymes.
18845277-1178	Our data suggest a developmental role of <mark style="background-color:lightgreen;" id="P16257,P30535,P30536,P50637">PBRs</mark> in erythropoiesis in chickens, possibly via the regulation of <mark style="background-color:lightblue;" id="4971">heme</mark> availability for the assembly of functional <mark style="background-color:lightgreen;" id="P15160,P17724,P73925,Q03459">hemoglobins</mark> .
18927216-1186	It is suggested that in this animal model, characterized by TSH elevation and low-grade inflammation, an increased expression and function of <mark style="background-color:lightgreen;" id="O19114,O46660,O54705,O62699,P29477,P35228,P79290,Q06518,Q27995,Q28314,Q90703,Q92037,Q92091">iNOS</mark> , resulting in <mark style="background-color:lightblue;" id="5359597">superoxide</mark> generation, accounts for an impaired NO availability.
18845389-1221	The addition of <mark style="background-color:lightgreen;" id="P03161,P03610,P03631,P03632,P07394,P15966,P25243,P25244,P35823,P98005">a protein</mark> kinase C ( <mark style="background-color:lightgreen;" id="P05130,P13677,P13678,P34722">PKC</mark> ) activator, <mark style="background-color:lightblue;" id="4792,27924,122634,22833501">phorbol 12-myristate 13-acetate</mark>, rescued PhIP-inhibited <mark style="background-color:lightgreen;" id="O35734,O77510,O77764,P01375,P04924,P06804,P13296,P16599,P19101,P23383,P23563,P29553,P33620,P36939,P48094,P51435,P51742,P51743,P59684,P59693,P59694,P59695,P79337,P79374,Q06599,Q19LH4,Q1G1A2,Q1WM27,Q2MH05,Q539C2,Q75N23,Q8HZD9,Q8JFG3,Q8MKG8,Q8WNR1,Q9BEA1">TNF-alpha</mark> expression in <mark style="background-color:lightgreen;" id="P01374,P10154,P19664,P26445,P61125,Q06600,Q5TM20,Q5WR07,Q9JM09,Q9XT48">LTA</mark> -stimulated cells.
18829006-1222	<mark style="background-color:lightgreen;" id="O04437,O18598,P0A9D2,P0A9D3,P30116,P44521,P46088,P46419,P46423,P46426,P46428,P46437,P48438,P80894,P81065,P82996,P82997,P82998,P82999,P83000,P83001,P83246,Q04522,Q08392,Q08393,Q0ZS46,Q7REH6,Q8ILQ7,Q8MU52,Q96324">Glutathione S-transferase</mark> ( <mark style="background-color:lightgreen;" id="P09488,P16413,Q9N0V4,Q9TSM5">GSTM1</mark> ) plays an important role in the <mark style="background-color:yellow;" id="GO:0007588,biological_process">excretion</mark> of <mark style="background-color:lightblue;" id="289,9064,73160">catechol</mark> estrogens and is therefore a candidate marker for fibroids.
18820838-1229	Regulation of T-type <mark style="background-color:lightgreen;" id="P51637,P51638">Cav3</mark> .1 channels expression by synthetic glucocorticoid <mark style="background-color:lightblue;" id="5743">dexamethasone</mark> in neonatal cardiac myocytes.
18820913-1250	Role of <mark style="background-color:lightgreen;" id="Q9UNQ0">BCRP</mark> as a biomarker for predicting resistance to <mark style="background-color:lightblue;" id="3385">5-fluorouracil</mark> in breast cancer.
18927433-1257	Immunofluorescence microscopy of live human umbilical vein endothelial cells showed that <mark style="background-color:lightgreen;" id="P04275,P80012,Q28295,Q28833,Q8CIZ8">VWF</mark> multimers rapidly formed strings several hundred micrometers long on the <mark style="background-color:yellow;" id="GO:0009928,GO:0009986,cellular_component">cell surface</mark> after stimulation with <mark style="background-color:lightblue;" id="774">histamine</mark>.
18927433-1258	Soluble P-selectin reduced the number of platelet-decorated <mark style="background-color:lightgreen;" id="P04275,P80012,Q28295,Q28833,Q8CIZ8">VWF</mark> strings in the absence of <mark style="background-color:lightblue;" id="271">Ca(2</mark>+) and Mg(2+) but had no effect in the presence of these cations.
